vaccine,country_code,country,year,coverage
MCV2,KEN,Kenya,2023,0.624
MCV1,KEN,Kenya,2023,0.91
MCV1,KEN,Kenya,2022,0.89
MCV2,KEN,Kenya,2022,0.595
MCV2,KEN,Kenya,2021,0.568
MCV1,KEN,Kenya,2021,0.9
MCV1,KEN,Kenya,2020,0.89
MCV2,KEN,Kenya,2020,0.51789
MCV2,KEN,Kenya,2019,0.541
MCV1,KEN,Kenya,2019,0.92
MCV2,KEN,Kenya,2018,0.454
MCV1,KEN,Kenya,2018,0.92
MCV2,KEN,Kenya,2017,0.348
MCV1,KEN,Kenya,2017,0.84
MCV1,KEN,Kenya,2016,0.93
MCV2,KEN,Kenya,2016,0.316
MCV2,KEN,Kenya,2015,0.278
MCV1,KEN,Kenya,2015,0.96
MCV1,KEN,Kenya,2014,0.95
MCV2,KEN,Kenya,2014,0
MCV1,KEN,Kenya,2013,0.94
MCV2,KEN,Kenya,2013,0
MCV1,KEN,Kenya,2012,0.93
MCV2,KEN,Kenya,2012,0
MCV1,KEN,Kenya,2011,0.87
MCV2,KEN,Kenya,2011,0
MCV2,KEN,Kenya,2010,0
MCV1,KEN,Kenya,2010,0.86
MCV1,KEN,Kenya,2009,0.88
MCV2,KEN,Kenya,2009,0
MCV2,KEN,Kenya,2008,0
MCV1,KEN,Kenya,2008,0.9
MCV2,KEN,Kenya,2007,0
MCV1,KEN,Kenya,2007,0.8
MCV1,KEN,Kenya,2006,0.77
MCV2,KEN,Kenya,2006,0
MCV2,KEN,Kenya,2005,0
MCV1,KEN,Kenya,2005,0.69
MCV2,KEN,Kenya,2004,0
MCV1,KEN,Kenya,2004,0.73
MCV2,KEN,Kenya,2003,0
MCV1,KEN,Kenya,2003,0.72
MCV2,KEN,Kenya,2002,0
MCV1,KEN,Kenya,2002,0.78
MCV2,KEN,Kenya,2001,0
MCV1,KEN,Kenya,2001,0.77
MCV2,KEN,Kenya,2000,0
MCV1,KEN,Kenya,2000,0.78
MCV1,KEN,Kenya,1999,0.76
MCV1,KEN,Kenya,1998,0.9
MCV1,KEN,Kenya,1997,0.79
MCV1,KEN,Kenya,1996,0.81
MCV1,KEN,Kenya,1995,0.83
MCV1,KEN,Kenya,1994,0.84
MCV1,KEN,Kenya,1993,0.84
MCV1,KEN,Kenya,1992,0.84
MCV1,KEN,Kenya,1991,0.81
MCV1,KEN,Kenya,1990,0.78
MCV1,KEN,Kenya,1989,0.75
MCV1,KEN,Kenya,1988,0.72
MCV1,KEN,Kenya,1987,0.69
MCV1,KEN,Kenya,1986,0.65
MCV1,KEN,Kenya,1985,0.63
MCV1,KEN,Kenya,1984,0.55
MCV1,KEN,Kenya,1983,0
MCV1,KEN,Kenya,1982,0
MCV1,KEN,Kenya,1981,0
MCV1,KEN,Kenya,1980,0
MCV2,KEN,Kenya,2024,0.634
MCV2,KEN,Kenya,2025,0.644
MCV2,KEN,Kenya,2026,0.654
MCV2,KEN,Kenya,2027,0.664
MCV2,KEN,Kenya,2028,0.674
MCV2,KEN,Kenya,2029,0.684
MCV2,KEN,Kenya,2030,0.694
MCV2,KEN,Kenya,2031,0.704
MCV2,KEN,Kenya,2032,0.714
MCV2,KEN,Kenya,2033,0.724
MCV2,KEN,Kenya,2034,0.734
MCV2,KEN,Kenya,2035,0.744
MCV2,KEN,Kenya,2036,0.754
MCV2,KEN,Kenya,2037,0.764
MCV2,KEN,Kenya,2038,0.774
MCV2,KEN,Kenya,2039,0.784
MCV2,KEN,Kenya,2040,0.794
MCV2,KEN,Kenya,2041,0.804
MCV2,KEN,Kenya,2042,0.814
MCV2,KEN,Kenya,2043,0.824
MCV2,KEN,Kenya,2044,0.834
MCV2,KEN,Kenya,2045,0.844
MCV2,KEN,Kenya,2046,0.854
MCV2,KEN,Kenya,2047,0.864
MCV2,KEN,Kenya,2048,0.874
MCV2,KEN,Kenya,2049,0.884
MCV2,KEN,Kenya,2050,0.894
MCV1,KEN,Kenya,2024,0.92
MCV1,KEN,Kenya,2025,0.93
MCV1,KEN,Kenya,2026,0.94
MCV1,KEN,Kenya,2027,0.95
MCV1,KEN,Kenya,2028,0.95
MCV1,KEN,Kenya,2029,0.95
MCV1,KEN,Kenya,2030,0.95
MCV1,KEN,Kenya,2031,0.95
MCV1,KEN,Kenya,2032,0.95
MCV1,KEN,Kenya,2033,0.95
MCV1,KEN,Kenya,2034,0.95
MCV1,KEN,Kenya,2035,0.95
MCV1,KEN,Kenya,2036,0.95
MCV1,KEN,Kenya,2037,0.95
MCV1,KEN,Kenya,2038,0.95
MCV1,KEN,Kenya,2039,0.95
MCV1,KEN,Kenya,2040,0.95
MCV1,KEN,Kenya,2041,0.95
MCV1,KEN,Kenya,2042,0.95
MCV1,KEN,Kenya,2043,0.95
MCV1,KEN,Kenya,2044,0.95
MCV1,KEN,Kenya,2045,0.95
MCV1,KEN,Kenya,2046,0.95
MCV1,KEN,Kenya,2047,0.95
MCV1,KEN,Kenya,2048,0.95
MCV1,KEN,Kenya,2049,0.95
MCV1,KEN,Kenya,2050,0.95
MCV1,BAR,baringo,2013,0.721040727
MCV2,BAR,baringo,2013,0
MCV1,BAR,baringo,2014,0.767450914
MCV2,BAR,baringo,2014,0
MCV1,BAR,baringo,2015,0.744423492
MCV2,BAR,baringo,2015,0.26054066
MCV1,BAR,baringo,2016,0.740279018
MCV2,BAR,baringo,2016,0.297111667
MCV1,BAR,baringo,2017,0.674539423
MCV2,BAR,baringo,2017,0.324350584
MCV1,BAR,baringo,2018,0.783317679
MCV2,BAR,baringo,2018,0.429542349
MCV1,BAR,baringo,2019,0.807902477
MCV2,BAR,baringo,2019,0.514083818
MCV1,BAR,baringo,2020,0.824971159
MCV2,BAR,baringo,2020,0.493591869
MCV1,BAR,baringo,2021,0.832607599
MCV2,BAR,baringo,2021,0.542447655
MCV1,BAR,baringo,2022,0.847415697
MCV2,BAR,baringo,2022,0.570325154
MCV1,BAR,baringo,2023,0.845991485
MCV2,BAR,baringo,2023,0.599794115
MCV1,BAR,baringo,2028,0.895991485
MCV2,BAR,baringo,2028,0.649794115
MCV1,BAR,baringo,2027,0.885991485
MCV2,BAR,baringo,2027,0.639794115
MCV1,BAR,baringo,2025,0.865991485
MCV2,BAR,baringo,2025,0.619794115
MCV1,BAR,baringo,2026,0.875991485
MCV2,BAR,baringo,2026,0.629794115
MCV1,BAR,baringo,2029,0.905991485
MCV2,BAR,baringo,2029,0.659794115
MCV1,BAR,baringo,2024,0.855991485
MCV2,BAR,baringo,2024,0.609794115
MCV1,BAR,baringo,2030,0.915991485
MCV2,BAR,baringo,2030,0.669794115
MCV1,BOM,bomet,2013,0.70747758
MCV2,BOM,bomet,2013,0
MCV1,BOM,bomet,2017,0.661747953
MCV2,BOM,bomet,2017,0.346921135
MCV1,BOM,bomet,2014,0.753013733
MCV2,BOM,bomet,2014,0
MCV1,BOM,bomet,2021,0.816943759
MCV2,BOM,bomet,2021,0.567693648
MCV1,BOM,bomet,2018,0.768582242
MCV2,BOM,bomet,2018,0.451163626
MCV1,BOM,bomet,2016,0.726352683
MCV2,BOM,bomet,2016,0.313868152
MCV1,BOM,bomet,2025,0.850078154
MCV2,BOM,bomet,2025,0.643604936
MCV1,BOM,bomet,2019,0.792714755
MCV2,BOM,bomet,2019,0.538611766
MCV1,BOM,bomet,2020,0.80945098
MCV2,BOM,bomet,2020,0.516746875
MCV1,BOM,bomet,2028,0.880078154
MCV2,BOM,bomet,2028,0.673604936
MCV1,BOM,bomet,2029,0.890078154
MCV2,BOM,bomet,2029,0.683604936
MCV1,BOM,bomet,2027,0.870078154
MCV2,BOM,bomet,2027,0.663604936
MCV1,BOM,bomet,2026,0.860078154
MCV2,BOM,bomet,2026,0.653604936
MCV1,BOM,bomet,2023,0.830078154
MCV2,BOM,bomet,2023,0.623604936
MCV1,BOM,bomet,2030,0.900078154
MCV2,BOM,bomet,2030,0.693604936
MCV1,BOM,bomet,2015,0.730424043
MCV2,BOM,bomet,2015,0.275058429
MCV1,BOM,bomet,2024,0.840078154
MCV2,BOM,bomet,2024,0.633604936
MCV1,BOM,bomet,2022,0.831477656
