vaccine,country_code,country,year,coverage
MCV1,KEN,Kenya,2024,0.92
MCV1,KEN,Kenya,2025,0.93
MCV1,KEN,Kenya,2026,0.94
MCV1,KEN,Kenya,2027,0.95
MCV1,KEN,Kenya,2028,0.95
MCV1,KEN,Kenya,2029,0.95
MCV1,KEN,Kenya,2030,0.95
MCV1,KEN,Kenya,2031,0.95
MCV1,KEN,Kenya,2032,0.95
MCV1,KEN,Kenya,2033,0.95
MCV1,KEN,Kenya,2034,0.95
MCV1,KEN,Kenya,2035,0.95
MCV1,KEN,Kenya,2036,0.95
MCV1,KEN,Kenya,2037,0.95
MCV1,KEN,Kenya,2038,0.95
MCV1,KEN,Kenya,2039,0.95
MCV1,KEN,Kenya,2040,0.95
MCV1,KEN,Kenya,2041,0.95
MCV1,KEN,Kenya,2042,0.95
MCV1,KEN,Kenya,2043,0.95
MCV1,KEN,Kenya,2044,0.95
MCV1,KEN,Kenya,2045,0.95
MCV1,KEN,Kenya,2046,0.95
MCV1,KEN,Kenya,2047,0.95
MCV1,KEN,Kenya,2048,0.95
MCV1,KEN,Kenya,2049,0.95
MCV1,KEN,Kenya,2050,0.95
MCV1,KEN,Kenya,2051,0.95
MCV1,KEN,Kenya,2052,0.95
MCV1,KEN,Kenya,2053,0.95
MCV1,KEN,Kenya,2054,0.95
MCV1,KEN,Kenya,2055,0.95
MCV1,KEN,Kenya,2056,0.95
MCV1,KEN,Kenya,2057,0.95
MCV1,KEN,Kenya,2058,0.95
MCV1,KEN,Kenya,2059,0.95
MCV1,KEN,Kenya,2060,0.95
MCV1,KEN,Kenya,2061,0.95
MCV1,KEN,Kenya,2062,0.95
MCV1,KEN,Kenya,2063,0.95
MCV1,KEN,Kenya,2064,0.95
MCV1,KEN,Kenya,2065,0.95
MCV1,KEN,Kenya,2066,0.95
MCV1,KEN,Kenya,2067,0.95
MCV1,KEN,Kenya,2068,0.95
MCV1,KEN,Kenya,2069,0.95
MCV1,KEN,Kenya,2070,0.95
MCV1,KEN,Kenya,2071,0.95
MCV1,KEN,Kenya,2072,0.95
MCV1,KEN,Kenya,2073,0.95
MCV1,KEN,Kenya,2074,0.95
MCV1,KEN,Kenya,2075,0.95
MCV1,KEN,Kenya,2076,0.95
MCV1,KEN,Kenya,2077,0.95
MCV1,KEN,Kenya,2078,0.95
MCV1,KEN,Kenya,2079,0.95
MCV1,KEN,Kenya,2080,0.95
MCV1,KEN,Kenya,2081,0.95
MCV1,KEN,Kenya,2082,0.95
MCV1,KEN,Kenya,2083,0.95
MCV1,KEN,Kenya,2084,0.95
MCV1,KEN,Kenya,2085,0.95
MCV1,KEN,Kenya,2086,0.95
MCV1,KEN,Kenya,2087,0.95
MCV1,KEN,Kenya,2088,0.95
MCV1,KEN,Kenya,2089,0.95
MCV1,KEN,Kenya,2090,0.95
MCV1,KEN,Kenya,2091,0.95
MCV1,KEN,Kenya,2092,0.95
MCV1,KEN,Kenya,2093,0.95
MCV1,KEN,Kenya,2094,0.95
MCV1,KEN,Kenya,2095,0.95
