vaccine,country_code,country,year,coverage
MCV1,KEN,Kenya,1980,0
MCV1,KEN,Kenya,1981,0
MCV1,KEN,Kenya,1982,0
MCV1,KEN,Kenya,1983,0
MCV1,KEN,Kenya,1984,0
MCV1,KEN,Kenya,1985,0
MCV1,KEN,Kenya,1986,0
MCV1,KEN,Kenya,1987,0
MCV1,KEN,Kenya,1988,0
MCV1,KEN,Kenya,1989,0
MCV1,KEN,Kenya,1990,0
MCV1,KEN,Kenya,1991,0
MCV1,KEN,Kenya,1992,0
MCV1,KEN,Kenya,1993,0
MCV1,KEN,Kenya,1994,0
MCV1,KEN,Kenya,1995,0
MCV1,KEN,Kenya,1996,0
MCV1,KEN,Kenya,1997,0
MCV1,KEN,Kenya,1998,0
MCV1,KEN,Kenya,1999,0
MCV1,KEN,Kenya,2000,0
MCV1,KEN,Kenya,2001,0
MCV1,KEN,Kenya,2002,0
MCV1,KEN,Kenya,2003,0
MCV1,KEN,Kenya,2004,0
MCV1,KEN,Kenya,2005,0
MCV1,KEN,Kenya,2006,0
MCV1,KEN,Kenya,2007,0
MCV1,KEN,Kenya,2008,0
MCV1,KEN,Kenya,2009,0
MCV1,KEN,Kenya,2010,0
MCV1,KEN,Kenya,2011,0
MCV1,KEN,Kenya,2012,0
MCV1,KEN,Kenya,2013,0
MCV1,KEN,Kenya,2014,0
MCV1,KEN,Kenya,2015,0
MCV1,KEN,Kenya,2016,0
MCV1,KEN,Kenya,2017,0
MCV1,KEN,Kenya,2018,0
MCV1,KEN,Kenya,2019,0
MCV1,KEN,Kenya,2020,0
MCV1,KEN,Kenya,2021,0
MCV1,KEN,Kenya,2022,0
MCV1,KEN,Kenya,2023,0
MCV1,KEN,Kenya,2024,0
MCV1,KEN,Kenya,2025,0
MCV1,KEN,Kenya,2026,0
MCV1,KEN,Kenya,2027,0
MCV1,KEN,Kenya,2028,0
MCV1,KEN,Kenya,2029,0
MCV1,KEN,Kenya,2030,0
MCV1,KEN,Kenya,2031,0
MCV1,KEN,Kenya,2032,0
MCV1,KEN,Kenya,2033,0
MCV1,KEN,Kenya,2034,0
MCV1,KEN,Kenya,2035,0
MCV1,KEN,Kenya,2036,0
MCV1,KEN,Kenya,2037,0
MCV1,KEN,Kenya,2038,0
MCV1,KEN,Kenya,2039,0
MCV1,KEN,Kenya,2040,0
MCV1,KEN,Kenya,2041,0
MCV1,KEN,Kenya,2042,0
MCV1,KEN,Kenya,2043,0
MCV1,KEN,Kenya,2044,0
MCV1,KEN,Kenya,2045,0
MCV1,KEN,Kenya,2046,0
MCV1,KEN,Kenya,2047,0
MCV1,KEN,Kenya,2048,0
MCV1,KEN,Kenya,2049,0
MCV1,KEN,Kenya,2050,0
MCV1,KEN,Kenya,2051,0
MCV1,KEN,Kenya,2052,0
MCV1,KEN,Kenya,2053,0
MCV1,KEN,Kenya,2054,0
MCV1,KEN,Kenya,2055,0
MCV1,KEN,Kenya,2056,0
MCV1,KEN,Kenya,2057,0
MCV1,KEN,Kenya,2058,0
MCV1,KEN,Kenya,2059,0
MCV1,KEN,Kenya,2060,0
MCV1,KEN,Kenya,2061,0
MCV1,KEN,Kenya,2062,0
MCV1,KEN,Kenya,2063,0
MCV1,KEN,Kenya,2064,0
MCV1,KEN,Kenya,2065,0
MCV1,KEN,Kenya,2066,0
MCV1,KEN,Kenya,2067,0
MCV1,KEN,Kenya,2068,0
MCV1,KEN,Kenya,2069,0
MCV1,KEN,Kenya,2070,0
MCV1,KEN,Kenya,2071,0
MCV1,KEN,Kenya,2072,0
MCV1,KEN,Kenya,2073,0
MCV1,KEN,Kenya,2074,0
MCV1,KEN,Kenya,2075,0
MCV1,KEN,Kenya,2076,0
MCV1,KEN,Kenya,2077,0
MCV1,KEN,Kenya,2078,0
MCV1,KEN,Kenya,2079,0
MCV1,KEN,Kenya,2080,0
MCV1,KEN,Kenya,2081,0
MCV1,KEN,Kenya,2082,0
MCV1,KEN,Kenya,2083,0
MCV1,KEN,Kenya,2084,0
MCV1,KEN,Kenya,2085,0
MCV1,KEN,Kenya,2086,0
MCV1,KEN,Kenya,2087,0
MCV1,KEN,Kenya,2088,0
MCV1,KEN,Kenya,2089,0
MCV1,KEN,Kenya,2090,0
MCV1,KEN,Kenya,2091,0
MCV1,KEN,Kenya,2092,0
MCV1,KEN,Kenya,2093,0
MCV1,KEN,Kenya,2094,0
MCV1,KEN,Kenya,2095,0
MCV1,KEN,Kenya,2096,0
MCV1,KEN,Kenya,2097,0
MCV1,KEN,Kenya,2098,0
MCV1,KEN,Kenya,2099,0
MCV1,KEN,Kenya,2100,0
MCV1,BAR,baringo,2013,0
MCV1,BAR,baringo,2014,0
MCV1,BAR,baringo,2015,0
MCV1,BAR,baringo,2016,0
MCV1,BAR,baringo,2017,0
MCV1,BAR,baringo,2018,0
MCV1,BAR,baringo,2019,0
MCV1,BAR,baringo,2020,0
MCV1,BAR,baringo,2021,0
MCV1,BAR,baringo,2022,0
MCV1,BAR,baringo,2023,0
MCV1,BAR,baringo,2028,0
MCV1,BAR,baringo,2027,0
MCV1,BAR,baringo,2025,0
MCV1,BAR,baringo,2026,0
MCV1,BAR,baringo,2029,0
MCV1,BAR,baringo,2024,0
MCV1,BAR,baringo,2030,0
