periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Proportion of under 1 year receiving vaccine against Measles and Rubella 1,Proportion of under two years receiving  vaccine against Measles and Rubella 2
2020,2020,2020,,k7Rj54u6dMx,Baringo Central Sub County,KE_SubCounty_2956,,,
2020,2020,2020,,bqtTmWcikTN,Baringo North Sub County,KE_SubCounty_2957,,,
2020,2020,2020,,Yl9UDBnDvvW,Koibatek Sub County,KE_SubCounty_2953,,,
2020,2020,2020,,dSLnPmNlm8Q,Marigat Sub County,KE_SubCounty_2955,,,
2020,2020,2020,,k5sxmlXAtIg,Mogotio Sub County,KE_SubCounty_2954,,,
2020,2020,2020,,st4v8xfqgJf,Tiaty East Sub County,KE_SubCounty_2958,,,
2020,2020,2020,,Mk4bMOSMRTB,Tiaty West Sub County,KE_SubCounty_3253,,,
2020,2020,2020,,m9gdonbVXjZ,Bomet Central Sub County,KE_SubCounty_2960,,,
2020,2020,2020,,OZNRpww2TUK,Bomet East Sub County,KE_SubCounty_2961,,,
2020,2020,2020,,PUhMyfDD2xp,Chepalungu Sub County,KE_SubCounty_2962,,,
2020,2020,2020,,PLFoYJO8MVS,Konoin Sub County,KE_SubCounty_2959,konoin,,
2020,2020,2020,,KyuSYunELJI,Sotik Sub County,KE_SubCounty_2963,,,
2020,2020,2020,,jkQZEow83MX,Bumula Sub County,KE_SubCounty_2969,,,
2020,2020,2020,,NZphHeczehh,Cheptais Sub County,KE_SubCounty_1289,,,
2020,2020,2020,,k1mze33jOs0,Kabuchai Sub County,KE_SubCounty_2970,,,
2020,2020,2020,,CUjthlounWV,Kanduyi Sub County,KE_SubCounty_2968,,,
2020,2020,2020,,AphsS3lJwKU,Kimilili Sub County,KE_SubCounty_2965,,,
2020,2020,2020,,ZCYATXdLsL1,Mt Elgon Sub County,KE_SubCounty_2972,,,
2020,2020,2020,,whWfFA9D7td,Sirisia Sub County,KE_SubCounty_2971,,,
2020,2020,2020,,orUwYD52An3,Tongaren Sub County,KE_SubCounty_2964,,,
2020,2020,2020,,f4AOiG8fYtn,Webuye East Sub County,KE_SubCounty_2967,,,
2020,2020,2020,,aqYhbqKclsI,Webuye West Sub County,KE_SubCounty_2966,,,
2020,2020,2020,,zI6vnsXresW,Bunyala Sub County,KE_SubCounty_2973,,,
2020,2020,2020,,RIBiZFJxB1K,Butula Sub County,KE_SubCounty_2975,,,
2020,2020,2020,,tvkI2HSIRW9,Matayos Sub County,KE_SubCounty_2976,,,
2020,2020,2020,,e1J7R103h8I,Nambale Sub County,KE_SubCounty_2977,,,
2020,2020,2020,,NHRktMsAkO1,Samia Sub County,KE_SubCounty_2974,,,
2020,2020,2020,,iyOe3zltlp6,Teso Central Sub County,3276,,,
2020,2020,2020,,GpEIlwz3FvT,Teso North Sub County,KE_SubCounty_2979,,,
2020,2020,2020,,EhchjCHkhJ9,Teso South Sub County,KE_SubCounty_2978,,,
2020,2020,2020,,rlWH0Ac9vjc,Keiyo North Sub County,KE_SubCounty_2981,,,
2020,2020,2020,,SOEG546PqbA,Keiyo South Sub County,KE_SubCounty_2980,,,
2020,2020,2020,,EZraJgLdRLX,Marakwet East Sub County,KE_SubCounty_2982,,,
2020,2020,2020,,fNCuk4Lpsnh,Marakwet West Sub County,KE_SubCounty_2983,,,
2020,2020,2020,,IPOMRXiYjxr,Manyatta Sub County,KE_SubCounty_2987,,,
2020,2020,2020,,eYBXetGx8xF,Mbeere North Sub County,KE_SubCounty_2984,,,
2020,2020,2020,,AvnM6jKoocs,Mbeere South Sub County,KE_SubCounty_2985,SUB COUNTY,,
2020,2020,2020,,rBKASpHJblX,Mwea Sub County,3266,,,
2020,2020,2020,,kMSLkN4nsRl,Runyenjes Sub County,KE_SubCounty_2986,,,
2020,2020,2020,,FGBNPr91pXH,Balambala Sub County,KE_SubCounty_2993,,,
2020,2020,2020,,wYTqff68aVM,Dadaab Refugee Camp Sub County,,,,
2020,2020,2020,,EW4Jw4dVWBt,Dadaab Sub County,KE_SubCounty_2991,,,
2020,2020,2020,,RScEHA3V38d,Fafi Sub County,KE_SubCounty_2990,,,
2020,2020,2020,,lQkHbTC1iRg,Garissa Sub County,KE_SubCounty_2994,,,
2020,2020,2020,,uyeif4CPqHt,Hulugho Sub County,KE_SubCounty_2989,,,
2020,2020,2020,,l5E6PiIUs1J,Ijara Sub County,KE_SubCounty_2988,One of the sub counties within Garissa County,,
2020,2020,2020,,J69iWev2zwu,Lagdera Sub County,KE_SubCounty_2992,,,
2020,2020,2020,,Ur2xRBDtazT,Homa Bay Town Sub County,KE_SubCounty_2998,,,
2020,2020,2020,,i2Y2fyNoFyZ,Ndhiwa Sub County,KE_SubCounty_2997,,,
2020,2020,2020,,BzFBYZhF5fx,Rachuonyo East Sub County,KE_SubCounty_3001,Sub County,,
2020,2020,2020,,fmsyW02tPng,Rachuonyo North  Sub County,KE_SubCounty_3000,,,
2020,2020,2020,,NhsAMiaS0TD,Rachuonyo South Sub County,KE_SubCounty_3002,,,
2020,2020,2020,,iK2Jk2AxhlD,Rangwe Sub County,KE_SubCounty_2999,Sub County,,
2020,2020,2020,,mCGytMcMf6y,Suba North Sub County,KE_SubCounty_2996,,,
2020,2020,2020,,HoRW5aISmiD,Suba South Sub County,KE_SubCounty_2995,,,
2020,2020,2020,,MYSShwNcjzb,Suba West Sub County,3265,,,
2020,2020,2020,,ecl4YnDebUi,Garbatulla Sub County,KE_SubCounty_3003,,,
2020,2020,2020,,I2LYLqKU6AW,Isiolo Sub County,KE_SubCounty_3004,,,
2020,2020,2020,,NrGORu301bx,Merti Sub County,KE_SubCounty_3005,,,
2020,2020,2020,,SZapM1R0Kti,Kajiado Central Sub County,KE_SubCounty_3009,,,
2020,2020,2020,,g6gTzQ5nfYq,Kajiado East Sub County,KE_SubCounty_3008,,,
2020,2020,2020,,BLz1HkvvMkA,Kajiado North Sub County,KE_SubCounty_3010,,,
2020,2020,2020,,wYsCfCAUWNB,Kajiado West Sub County,KE_SubCounty_3007,,,
2020,2020,2020,,eyADpAXM834,Loitokitok Sub County,KE_SubCounty_3006,,,
2020,2020,2020,,K7mZpm8COh7,Butere Sub County,KE_SubCounty_3014,,,
2020,2020,2020,,BE6HMtlHyl1,Ikolomani Sub County,KE_SubCounty_3011,,,
2020,2020,2020,,UhQS2Mv0PCK,Khwisero Sub County,KE_SubCounty_3013,,,
2020,2020,2020,,wMv0s3U2nnG,Likuyani Sub County,KE_SubCounty_3021,,,
2020,2020,2020,,ZOdhgR19Akq,Lugari Sub County,KE_SubCounty_3022,,,
2020,2020,2020,,Y3NjAhiBaZT,Lurambi Sub County,KE_SubCounty_3019,,,
2020,2020,2020,,ES1CWa4AJmJ,Malava Sub County,KE_SubCounty_3020,,,
2020,2020,2020,,ssbO49f0iLN,Matungu Sub County,KE_SubCounty_3015,,,
2020,2020,2020,,FBteTV1eqB6,Mumias East Sub County,KE_SubCounty_3016,,,
2020,2020,2020,,uRl5fBkhpcE,Mumias West Sub County,KE_SubCounty_3017,,,
2020,2020,2020,,G6PJ5kFVAuO,Navakholo Sub County,KE_SubCounty_3018,,,
2020,2020,2020,,sjlSPeRgl7d,Shinyalu Sub County,KE_SubCounty_3012,,,
2020,2020,2020,,GshNTMZJ5r1,Ainamoi Sub County,KE_SubCounty_3026,,,
2020,2020,2020,,YnIAWg1T4AY,Belgut Sub County,KE_SubCounty_3024,,,
2020,2020,2020,,wt8cPHWfkfu,Bureti Sub County,KE_SubCounty_3025,,,
2020,2020,2020,,gU0Cz7Qlfss,Kipkelion East Sub County,KE_SubCounty_3028,,,
2020,2020,2020,,Taw0Zg7nArd,Kipkelion West Sub County,KE_SubCounty_3027,,,
2020,2020,2020,,ScLzA7tQxrH,Sigowet/Soin Sub County,KE_SubCounty_3023,,,
2020,2020,2020,,HEsM6W2ImQR,Gatundu North Sub County,KE_SubCounty_3039,,,
2020,2020,2020,,EcRytSSIkUq,Gatundu South Sub County,KE_SubCounty_3040,,,
2020,2020,2020,,E7tkGikenbD,Githunguri Sub County,KE_SubCounty_3035,,,
2020,2020,2020,,aiqi2bz0IMI,Juja Sub County,KE_SubCounty_3038,,,
2020,2020,2020,,lb5LzWiUX8Y,Kabete Sub County,KE_SubCounty_3032,,,
2020,2020,2020,,oMaQgNIs85x,Kiambaa Sub County,KE_SubCounty_3033,,,
2020,2020,2020,,SBz4c48i24Y,Kiambu Town Sub County,KE_SubCounty_3034,,,
2020,2020,2020,,jOVcLeZQSsS,Kikuyu Sub County,KE_SubCounty_3031,,,
2020,2020,2020,,nCziQtZ49jj,Lari Sub County,KE_SubCounty_3029,,,
2020,2020,2020,,xhVi71INcFs,Limuru Sub County,KE_SubCounty_3030,,,
2020,2020,2020,,TPRNJqSm4lK,Ruiru Sub County,KE_SubCounty_3036,,,
2020,2020,2020,,YZAZ1a9MIvX,Thika Town Sub County,KE_SubCounty_3037,,,
2020,2020,2020,,x7qUMtZZvo9,Ganze Sub County,KE_SubCounty_3043,,,
2020,2020,2020,,tSKDWoVKiPo,Kaloleni Sub County,KE_SubCounty_3045,,,
2020,2020,2020,,MEkEH8ZmcOU,Kilifi North Sub County,KE_SubCounty_3047,Sub County,,
2020,2020,2020,,xWAZBULwGxp,Kilifi South Sub County,KE_SubCounty_3046,,,
2020,2020,2020,,KMWrMZrlO5u,Magarini Sub County,KE_SubCounty_3041,,,
