country_name,country,mcv1_VS_nomcv,mcv1-sia_VS_mcv1,mcv1-mcv2_VS_mcv1,mcv1-mcv2-sia_VS_mcv1-sia,mcv1-mcv2-sia_VS_mcv1-mcv2
India,IND,1.35,10.62,5.41,9.86,15.81
Indonesia,IDN,1.27,7.06,4.73,10.41,10.27
China,CHN,1.34,7.89,4.59,7.81,33.43
Philippines,PHL,1.33,5.82,4.39,8.58,6.72
Pakistan,PAK,1.44,7.34,4.80,14.28,8.98
Angola,AGO,1.45,4.45,5.32,19.83,4.62
Ukraine,UKR,1.26,10.27,6.10,6.21,12.57
Malawi,MWI,1.36,8.32,6.59,302.56,9.33
,,,,,,
Nigeria,NGA,1.46,4.96,5.78,960621.35,4.99
Ethiopia,ETH,1.42,5.32,6.12,110.78,5.41
Madagascar,MDG,1.40,3.66,8.16,14.48,3.67
,,,,,,
Uganda,UGA,1.41,6.26,,,6.26
DRC,COD,1.44,6.04,,,6.04
Somalia,SOM,1.45,5.81,,,5.81
Global,Global,1.36,6.85,4.86,8.96,8.55
