country_name,country,mcv1_VS_nomcv,mcv1-sia_VS_nomcv,mcv1-mcv2_VS_nomcv,mcv1-mcv2-sia_VS_nomcv,mcv1-sia_VS_mcv1,mcv1-mcv2_VS_mcv1
India,IND,150605.741272919,159032.588389248,156488.999225326,162377.701322452,8426.84711632921,5883.25795240751
Indonesia,IDN,21582.2699895696,25060.8282267698,23725.9142576944,26018.8326169231,3478.55823720022,2143.64426812479
China,CHN,103400.244551306,110343.433942044,114481.737511226,115911.01646367,6943.18939073867,11081.4929599208
Philippines,PHL,11342.9305548702,13790.2968658809,12043.4892891249,14066.0618155305,2447.36631101074,700.558734254701
Pakistan,PAK,66434.3213545424,90498.9832372626,72909.8842813114,92422.899602378,24064.6618827203,6475.56292676901
Angola,AGO,15143.665234712,30799.5324207684,15768.3988432929,30978.0146953601,15655.8671860565,624.733608580966
Ukraine,UKR,3435.41223444793,3450.90781200064,3822.57203798187,3835.70807556481,15.4955775527096,387.159803533941
Malawi,MWI,15073.6223032193,19012.1361119187,15444.3608936456,19019.2854002055,3938.51380869941,370.738590426322
Nigeria,NGA,78181.0375295008,150748.347472785,78475.3069439492,150748.349154422,72567.3099432841,294.26941444841
Ethiopia,ETH,54084.3706779977,105597.600133099,54727.0759356962,105622.958036307,51513.2294551009,642.705257698462
Madagascar,MDG,8704.30392907223,12433.9018918338,8718.88753415642,12441.9179765252,3729.59796276154,14.5836050841864
Uganda,UGA,32235.2498070744,46851.4130128814,32235.2498070744,46851.4130128814,14616.1632058069,0
DRC,COD,49891.4288848913,78816.8092053153,49891.4288848913,78816.8092053153,28925.380320424,0
Somalia,SOM,6205.17797403901,13080.4097470261,6205.17797403901,13080.4097470261,6875.23177298705,0
Global,Global,616319.776298161,859517.188468834,644938.48341941,872191.377124561,243197.412170672,28618.7071212491
