country,No vaccination,MCV1,MCV1 + MCV2,MCV1 + SIAs,MCV1 + MCV2 + SIAs
IND,0,0,0.0952380952380952,0,0.142857142857143
NGA,0,0,0,0.238095238095238,0.238095238095238
IDN,0,0,0,0.0952380952380952,0.238095238095238
ETH,0,0,0,0.142857142857143,0.142857142857143
CHN,0,0,0.666666666666667,0.19047619047619,0.666666666666667
PHL,0,0,0,0.238095238095238,0.380952380952381
UGA,0,0,0,0.380952380952381,0.380952380952381
COD,0,0,0,0.142857142857143,0.142857142857143
PAK,0,0,0,0.19047619047619,0.333333333333333
AGO,0,0,0,0.238095238095238,0.238095238095238
MDG,0,0,0,0.285714285714286,0.285714285714286
UKR,0,0,0,0,0
MWI,0,0,0.0476190476190477,0.476190476190476,0.571428571428571
SOM,0,0,0,0.0476190476190477,0.0476190476190477
pr25,0,0,0,0.107142857142857,0.142857142857143
median,0,0,0,0.19047619047619,0.238095238095238
pr75,0,0,0,0.238095238095238,0.369047619047619
